id,namaWisata,rating,kategori,Kategori User,Tautan,Link Gambar
56,Patung Pendiri UNEJ,4.8,"Edukasi, Sejarah","Pengetahuan, Santai",https://maps.app.goo.gl/Udsfr3Scb3gnan2F9,https://drive.google.com/file/d/1TEIg_nX5N_qYYG2BmpBRl62ww3z9p-03/view?usp=drive_link
57,Pemandian Patemon,4.1,"Alam, Hiburan","Keluarga, Santai, Rekreasi",https://maps.app.goo.gl/ddHk2m9Uch1DNnQN9,https://drive.google.com/file/d/1rgwhqNhUqdFdHMYw_35RozwedNpsnCg4/view?usp=drive_link
58,Jember Edu Garden (JEG),4.2,"Alam, hiburan",Santai,https://maps.app.goo.gl/xZAz9tpkDrfNKUPh6,https://drive.google.com/file/d/1R15b86ribrOhi88DtKMfpH9BELhAx9Kw/view?usp=drive_link
59,Masjid Muhammad Cheng Hoo Jember,4.7,"Religi, Sejarah",Keluarga,https://maps.app.goo.gl/Ygcs5GG9S4xhRaR27,https://drive.google.com/file/d/1rmnxgnQHE59J7Glc8h7wF7yUjRmacwA0/view?usp=drive_link
60,Desa Wisata Kemiri,4.4,Alam,"Keluarga, Santai",https://maps.app.goo.gl/zGdx3TcYYq23sfpr7,https://drive.google.com/file/d/1sjmGe0ZHOCqxjWEwXtvv9GGr_-dOXONA/view?usp=drive_link
61,Tancak Tulis,4.3,"Alam, Petualangan",Petualang,https://maps.app.goo.gl/CpwxfAEkozmVDW3a8,https://drive.google.com/file/d/1m3wm3T9G_2I02f8fpCisUZPX4CBzJCTH/view?usp=drive_link
62,Wisata Jembatan Klungkung,4.2,Alam,"Keluarga, Santai",https://maps.app.goo.gl/ycFLcpEYj1iZLjERA,https://drive.google.com/file/d/1BPN8Iz1iWhn-fG8YrmEcpe82tAzZKcGY/view?usp=drive_link
63,Kampung Durian Pakis Jember,4.4,"Alam, Hiburan","Keluarga, Santai, Rekreasi",https://maps.app.goo.gl/K4hnH5X9xctH3e9h9,https://drive.google.com/file/d/1OxqowrnsP6PzHVYcxKvrjoVc4Z-hyPZ-/view?usp=drive_link
64,Wisata Railfans Spot Lurusan,4.7,Alam,"Santai, Fotografi",https://maps.app.goo.gl/oPpAwuU2GHPbRrjB9,https://drive.google.com/file/d/1935J9Gy1YX_z07Dni1gdi2B3bywC6V_f/view?usp=drive_link
65,Air Terjun Turbin Jumerto,3.9,"Alam, Petualangan",Petualang,https://maps.app.goo.gl/6wxAXonzgKqUKAGi9,https://drive.google.com/file/d/1mZ97fYXzn6RnDOULUfIsXGza2yC2uMqL/view?usp=drive_link
66,Wisata Puncak Pakel,4.4,"Alam, Petualangan","Keluarga, Petualang",https://maps.app.goo.gl/4EKju344aVU2pBZ58,https://drive.google.com/file/d/1xzMEpr5hoRDmekU5LlJTm8_qBcYOarL1/view?usp=drive_link
67,Seger Nusantara,4.7,"Alam, Hiburan, Petualangan","Keluarga, Santai",https://maps.app.goo.gl/DV4JEf7t89yJLQTF9,https://drive.google.com/file/d/13IlNpCmUu3z2ROVbcUquX_hAeRUH6nNv/view?usp=drive_link
68,Selo Bonang Argopuro,4.6,"Alam, Petualangan",Petualang,https://maps.app.goo.gl/bAE4ccjhJSXakTGh9,https://drive.google.com/file/d/1jhWRu-RZuZarFkjqg8bK8CtKk25IStS3/view?usp=drive_link
69,Air Terjun Rengganis,4.0,"Alam, Petualangan",Petualang,https://maps.app.goo.gl/NQbvRH5UwFWtyah76,https://drive.google.com/file/d/1tJhNBUjWnj3Esp11mh6qIVkuEjupHbA3/view?usp=drive_link
70,Panduman Waterfall,4.2,"Alam, Petualangan",Petualang,https://maps.app.goo.gl/FSCuTmuqkGf3PPkY7,https://drive.google.com/file/d/1CsncKhWnQzLR0hESQ4EPakEpbPahuy_K/view?usp=drive_link
